countryName,countryCode,indicatorName,indicatorCode,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,282.359,289.693,300.694,337.364,311.695,344.698,458.375,506.046,572.052,638.058,810.407,861.745,898.415,975.422,1162.439,1092.766,1565.809,2002.182,1829.833,3905.355,5342.819,6343.91,6589.599,6057.884,6475.922,2005.849,1855.502,2211.201,7638.361,1738.158,1111.101,3795.345,3898.021,3817.347,4363.73,4602.085,3215.959,3208.625,3080.28,3432.312,3421.311,3417.644,3795.345,3956.693,3696.336,3828.348,5834.197,5544.504,6673.94,7234.991
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,194182.318,207185.5,211109.19,237801.283,252153.921,259319.239,281896.958,303539.592,307400.943,341485.708,352607.719,381136.979,381621.023,389970.782,397143.434,399317.965,398173.861,405826.89,427671.209,428547.622,416101.824,400286.053,397165.436,406714.304,401855.529,387220.532,411752.762,434341.482,440370.03,450076.579,449053.486,467648.843,477920.11,454491.647,459790.462,467883.531,483233.593,517219.349,515415.185,534483.585,525690.119,519162.859,553185.285,552349.209,563071.517,550233.35,560801.644,544974.872,513937.384,499137.372
Cayman Islands,CYM,CO2 emissions (kt),EN.ATM.CO2E.KT,11.001,11.001,11.001,11.001,11.001,18.335,14.668,22.002,44.004,36.67,44.004,55.005,58.672,55.005,58.672,69.673,73.34,95.342,95.342,165.015,157.681,165.015,172.349,187.017,194.351,205.352,216.353,227.354,260.357,253.023,275.025,311.695,333.697,366.7,366.7,388.702,407.037,425.372,421.705,454.708,454.708,469.376,480.377,498.712,513.38,517.047,612.389,630.724,586.72,590.387
Central African Republic,CAF,CO2 emissions (kt),EN.ATM.CO2E.KT,88.008,73.34,73.34,73.34,88.008,84.341,91.675,183.35,187.017,209.019,183.35,168.682,161.348,113.677,102.676,128.345,128.345,146.68,102.676,106.343,135.679,143.013,146.68,150.347,161.348,161.348,260.357,231.021,249.356,198.018,205.352,216.353,223.687,234.688,234.688,234.688,245.689,249.356,264.024,267.691,245.689,245.689,234.688,212.686,212.686,227.354,234.688,234.688,234.688,264.024
Chad,TCD,CO2 emissions (kt),EN.ATM.CO2E.KT,51.338,84.341,91.675,99.009,106.343,84.341,117.344,124.678,161.348,124.678,150.347,121.011,161.348,150.347,183.35,183.35,198.018,194.351,201.685,209.019,209.019,205.352,205.352,216.353,179.683,187.017,198.018,66.006,102.676,146.68,69.673,88.008,99.009,102.676,102.676,106.343,113.677,113.677,121.011,176.016,172.349,168.682,381.368,377.701,399.703,407.037,462.042,509.713,443.707,469.376
Channel Islands,CHI,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,CO2 emissions (kt),EN.ATM.CO2E.KT,14473.649,16725.187,17355.911,17524.593,17766.615,18793.375,19259.084,21224.596,22555.717,24664.242,27095.463,28191.896,27652.847,25955.026,23014.092,24103.191,23109.434,22948.086,24862.26,25265.63,24554.232,20615.874,20839.561,22200.018,21503.288,22247.689,22673.061,26926.781,32386.944,34143.437,32181.592,33314.695,35474.558,38888.535,42456.526,48518.077,56171.106,57714.913,60883.201,58694.002,52757.129,55360.699,55078.34,60047.125,61730.278,64392.52,71154.468,71224.141,67267.448,72258.235
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,552066.85,440359.029,436695.696,436923.05,475972.933,522789.522,433234.048,468928.626,577237.138,771617.474,876633.02,931575.681,968542.708,988014.478,1145607.47,1196193.735,1310310.775,1462168.579,1494859.884,1467192.369,1451501.276,1580260.647,1667029.201,1814908.31,1966553.428,2068969.071,2209708.531,2369501.723,2408540.605,2460744.017,2584538.27,2695982.067,2878694.009,3058241.33,3320285.15,3463089.131,3469510.048,3324344.519,3318055.614,3405179.867,3487566.356,3694242.143,4525177.009,5288166.032,5790016.984,6414463.08,6791804.714,7035443.861,7692210.895,8286891.952
Colombia,COL,CO2 emissions (kt),EN.ATM.CO2E.KT,18217.656,19442.434,21257.599,21708.64,22885.747,23501.803,24715.58,26604.085,28048.883,28404.582,30326.09,31481.195,33699.73,36479.316,35896.263,38089.129,39354.244,41682.789,44433.039,44356.032,44458.708,45914.507,49449.495,48980.119,48378.731,49101.13,50487.256,52445.434,53233.839,57337.212,57120.859,62049.307,64022.153,67571.809,59614.419,60527.502,64909.567,65976.664,56512.137,57923.932,56273.782,55661.393,57421.553,55071.006,60945.54,62940.388,63439.1,66438.706,70850.107,75679.546
Comoros,COM,CO2 emissions (kt),EN.ATM.CO2E.KT,11.001,11.001,11.001,11.001,14.668,18.335,18.335,18.335,18.335,29.336,29.336,29.336,29.336,29.336,33.003,40.337,40.337,29.336,22.002,47.671,47.671,47.671,47.671,47.671,55.005,51.338,58.672,62.339,62.339,77.007,77.007,77.007,77.007,77.007,80.674,66.006,66.006,73.34,80.674,84.341,88.008,91.675,99.009,102.676,110.01,121.011,121.011,124.678,124.678,139.346
